OBJECTID,Pole_id,Pole_co_type,Quantity,Note_
25764,2021243,1,1,
25765,2021245,1,1,
25766,2021246,1,1,
25767,2021247,1,1,
25768,2021248,1,1,
25769,2021254,1,1,
25770,2021255,1,1,
25771,2021256,1,1,
25772,2021257,1,1,
25773,2021258,1,1,
25774,2021259,1,1,
25775,2021260,1,1,
25776,2021266,4,1,
25777,2021268,1,1,
25778,2021269,1,1,
25779,2021270,1,1,
25780,2021271,1,1,
25781,2021272,1,1,
25782,2021273,1,1,
25783,2021276,1,1,
25784,2021277,1,1,
25785,2021279,1,1,
25786,2021280,1,1,
25787,2021281,1,2,
25788,2021282,1,2,
25789,2021283,1,3,
25790,2021284,1,1,
25791,2021285,1,2,
25792,2021291,1,2,
25793,2021292,1,2,
25794,2021287,1,1,
25795,2021293,1,1,
25796,2021295,1,1,
25797,2021296,2,2,
25798,2021297,1,2,
25799,2021298,1,1,
25800,2021299,1,2,
25801,2021301,1,1,
25802,2021301,2,1,
25803,2021302,1,2,
25804,2021303,1,1,
25805,2021300,1,1,
25806,2021308,2,1,
25807,2021310,1,2,
25808,2021312,1,1,
25809,2021313,1,1,
25810,2021317,1,3,
25811,2021318,1,1,
25812,2021320,1,3,
25813,2021321,1,1,
25814,2021322,1,1,
25815,2021323,1,1,
25816,2021324,1,1,
25817,2021325,1,1,
25818,2021326,1,1,
25819,2021328,1,1,
25820,2021329,1,1,
25821,2021331,2,1,
25822,2021332,1,1,
25823,2021333,1,1,
25824,2021334,1,1,
25825,2021335,1,1,
25826,2021340,1,1,
25827,2021351,1,1,
25828,2021352,1,2,
25829,2021353,1,1,
25830,2021354,1,1,
25831,2021355,2,1,
25832,2021360,1,1,
25833,2021361,1,1,
25834,2021366,1,1,
25835,2021367,1,3,
25836,2021370,1,3,
25837,2021371,1,1,
25838,2021372,1,2,
25839,2021373,1,1,
25840,2021374,1,1,
25841,2021375,1,2,
25842,2021376,1,1,
25843,2021377,2,2,
25844,2021378,1,1,
25845,2021379,1,4,
25846,2021380,1,1,
25847,2021382,1,1,
25848,2021383,1,1,
25849,2021389,1,1,
25850,2021391,1,2,
25851,2021393,1,1,
25852,2021394,1,1,
25853,2021397,1,1,
25854,2021399,1,1,
25855,2021400,1,2,
25856,2021401,1,1,
25857,2021402,1,1,
25858,2021403,1,2,
25859,2021404,1,1,
25860,2021406,1,1,
25861,2021407,1,1,
25862,2021409,1,1,
25863,2021410,1,2,
25864,2021412,1,2,
25865,2021413,1,1,
25866,2021415,1,1,
25867,2021319,1,1,
25868,2021435,1,2,
25869,2021436,1,1,
25870,2021437,1,1,
25871,2021438,1,1,
25872,2021440,1,1,
25873,2021443,1,3,
25874,2021444,1,1,
25875,2021629,1,1,
25876,2021630,1,1,
25877,2021631,1,1,
25878,2021635,1,1,
25879,2021641,1,1,
25880,2021642,1,2,
25881,2021643,3,1,
25882,2021639,1,1,
25883,2021640,1,1,
25884,2021647,1,2,
25885,2021648,1,1,
25886,2021644,1,2,
25887,2021646,1,1,
25888,2021657,1,1,
25889,2021659,1,2,
25890,2021660,1,1,
25891,2021665,1,3,
25892,2021667,1,3,
25893,2021668,1,1,
25894,2021669,1,1,
25895,2021670,1,1,
25896,2021671,1,1,
25897,2021672,1,1,
25898,2021678,1,1,
25899,2021679,1,1,
25900,2021674,1,1,
25901,2021675,1,1,
25902,2021676,1,2,
25903,2021683,1,1,
25904,2021681,1,1,
25905,2021685,1,2,
25906,2021686,1,1,
25907,2021688,1,1,
25908,2021689,1,1,
25909,2021694,1,1,
25910,2021695,1,2,
25911,2021696,1,2,
25912,2021697,1,1,
25913,2022288,1,1,
25914,2022292,1,1,
25915,2022293,2,2,
25916,2022295,1,1,
25917,2022298,1,1,
25918,2022299,3,1,
25919,2022300,1,1,
25920,2022300,3,1,
25921,2022301,1,2,
25922,2022303,2,1,
25923,2022303,4,1,
25924,2022304,1,1,
25925,2022305,10,1,
25926,2022306,1,1,
25927,2022308,1,1,
25928,2022309,1,1,
25929,2022315,1,3,
25930,2022311,1,1,
25931,2022312,1,1,
25932,2022316,1,2,
25933,2022318,1,2,
25934,2021700,1,1,
25935,2021701,1,1,
25936,2021702,1,1,
25937,2021703,1,2,
25938,2021704,1,1,
25939,2021705,1,2,
25940,2021708,2,1,
25941,2021709,1,1,
25942,2021716,1,1,
25943,2021719,1,2,
25944,2021720,1,1,
25945,2021721,1,1,
25946,2021727,1,1,
25947,2021725,1,1,
25948,2021730,1,1,
25949,2021732,1,1,
25950,2021734,1,2,
25951,2021739,1,1,
25952,2021740,1,1,
25953,2021735,1,2,
25954,2021737,1,1,
25955,2021741,1,1,
25956,2021742,1,2,
25957,2021743,1,2,
25958,2021747,3,1,
25959,2021748,3,1,
25960,2021749,1,3,
25961,2021750,1,2,
25962,2021751,1,1,
25963,2021756,1,2,
25964,2021757,1,3,
25965,2021753,1,3,
25966,2021754,1,2,
25967,2021755,1,1,
25968,2021762,2,2,
25969,2021763,10,1,
25970,2021760,1,1,
25971,2021765,1,1,
25972,2020985,2,2,
25973,2020984,2,2,
25974,2020987,2,2,
25975,2020990,1,1,
25976,2020991,2,2,
25977,2020992,1,1,
25978,2020994,1,1,
25979,2020995,1,1,
25980,2021767,1,1,
25981,2021771,1,1,
25982,2021773,1,1,
25983,2021937,1,1,
25984,2021940,1,1,
25985,2021943,1,1,
25986,2021945,1,1,
25987,2021944,1,1,
25988,2021946,1,1,
25989,2021949,1,1,
25990,2021942,1,1,
25991,2021950,1,1,
25992,2021954,1,1,
25993,2021955,1,1,
25994,2021956,1,1,
25995,2021957,1,1,
25996,2021958,1,1,
25997,2021959,1,1,
25998,2021960,1,1,
25999,2021961,1,1,
26000,2021962,1,1,
26001,2021972,1,2,
26002,2021973,1,1,
26003,2021968,1,1,
26004,2021969,1,1,
26005,2021970,1,1,
26006,2021979,1,1,
26007,2021977,1,1,
26008,2021974,1,1,
26009,2021983,1,3,
26010,2021984,1,1,
26011,2021985,1,1,
26012,2021976,1,1,
26013,2021975,1,2,
26014,2021982,2,1,
26015,2021989,1,1,
26016,2021990,2,1,
26017,2021991,1,1,
26018,2021986,1,1,
26019,2021987,1,1,
26020,2021988,1,1,
26021,2021992,1,1,
26022,2021993,1,2,
26023,2022002,1,1,
26024,2022003,1,1,
26025,2021998,2,1,
26026,2022007,1,1,
26027,2022008,1,1,
26028,2022009,1,1,
26029,2022004,1,1,
26030,2022005,1,1,
26031,2022006,1,1,
26032,2022014,1,1,
26033,2022019,1,1,
26034,2022020,1,1,
26035,2022021,1,1,
26036,2022016,1,1,
26037,2022025,1,1,
26038,2022027,1,1,
26039,2022023,1,1,
26040,2022024,1,1,
26041,2022031,1,1,
26042,2022032,1,1,
26043,2022030,1,1,
26044,2022035,1,1,
26045,2022036,1,1,
26046,2022037,1,1,
26047,2022038,1,1,
