OBJECTID,Pole_id,Pole_i_type,Quantity,Note_
36729,2021525,1,2,
36730,2021526,1,3,
36731,2021527,1,8,
36732,2021528,1,4,
36733,2021529,1,7,
36734,2021530,1,3,
36735,2021531,1,3,
36736,2021532,1,3,
36737,2021533,1,2,
36738,2021534,1,7,
36739,2021535,1,5,
36740,2021536,1,5,
36741,2021537,1,4,
36742,2021538,1,9,
36743,2021539,1,7,
36744,2021540,1,14,
36745,2021541,1,7,
36746,2021542,1,4,
36747,2021543,1,4,
36748,2021544,1,5,
36749,2021548,1,5,
36750,2021549,1,6,
36751,2021550,1,3,
36752,2021545,1,5,
36753,2021546,1,5,
36754,2021547,1,4,
36755,2021553,1,9,
36756,2021555,1,5,
36757,2021556,1,6,
36758,2021551,1,6,
36759,2021552,1,4,
36760,2021554,1,10,
36761,2021557,1,2,
36762,2021558,1,4,
36763,2021559,1,4,
36764,2021560,1,4,
36765,2021561,1,2,
36766,2021562,1,7,
36767,2021563,1,5,
36768,2021564,1,6,
36769,2021565,1,6,
36770,2021566,1,5,
36771,2021567,1,5,
36772,2021568,1,7,
36773,2021572,1,5,
36774,2021573,1,5,
36775,2021574,1,4,
36776,2021569,1,5,
36777,2021570,1,5,
36778,2021571,1,5,
36779,2021578,1,4,
36780,2021579,1,5,
36781,2021580,1,5,
36782,2021575,1,5,
36783,2021576,1,5,
36784,2021577,1,4,
36785,2021581,1,5,
36786,2021582,1,2,
36787,2021583,1,5,
36788,2021584,1,8,
36789,2021585,1,3,
36790,2021586,1,5,
36791,2021587,1,3,
36792,2021588,1,6,
36793,2021589,1,11,
36794,2021590,1,8,
36795,2021591,1,3,
36796,2021592,1,3,
36797,2021593,1,5,
36798,2021594,1,2,
36799,2021595,1,5,
36800,2021596,1,9,
36801,2021597,1,11,
36802,2021598,1,4,
36803,2021599,1,10,
36804,2021600,1,3,
36805,2021601,1,3,
36806,2021602,1,2,
36807,2021603,1,2,
36808,2021604,1,6,
36809,2021606,1,8,
36810,2021607,1,2,
36811,2021608,1,9,
36812,2021609,1,4,
36813,2021610,1,3,
36814,2021611,1,4,
36815,2021612,1,3,
36816,2021613,1,2,
36817,2021614,1,2,
36818,2021615,1,3,
36819,2021616,1,2,
36820,2021617,1,2,
36821,2021618,1,3,
36822,2021619,1,2,
36823,2021620,1,2,
36824,2021621,1,2,
36825,2021622,1,3,
36826,2021623,1,3,
36827,2034269,1,5,
36828,2034270,1,8,
36829,2034271,1,4,
36830,2034272,1,6,
36831,2034273,1,8,
36832,2034274,1,4,
36833,2034275,1,4,
36834,2034276,1,4,
36835,2034277,1,2,
36836,2034278,1,2,
36837,2034279,1,2,
36838,2034280,1,3,
36839,2034281,1,4,
36840,2034282,1,4,
36841,2034283,1,4,
36842,2034284,1,5,
36843,2034285,1,2,
36844,2034286,1,4,
36845,2034287,1,2,
36846,2034288,1,2,
36847,2034289,1,2,
36848,2034290,1,2,
36849,2034291,1,2,
36850,2034292,1,2,
36851,2034293,1,2,
36852,2034552,1,9,
36853,2034553,1,4,
36854,2034554,1,5,
36855,2034557,1,4,
36856,2034555,2,2,
36857,2034556,2,2,
36858,2034558,1,3,
36859,2034559,1,3,
36860,2034560,1,4,
36861,2034561,1,5,
36862,2034562,1,5,
36863,2034563,1,4,
36864,2034564,1,5,
36865,2034565,1,4,
36866,2034566,1,4,
36867,2034567,1,4,
36868,2034568,1,4,
36869,2034569,1,3,
36870,2034570,1,2,
36871,2034571,1,4,
36872,2034572,1,4,
36873,2034573,1,4,
36874,2034574,1,4,
36875,2034575,1,4,
36876,2034576,1,4,
36877,2034577,1,5,
36878,2034578,1,5,
36879,2034579,1,5,
36880,2034580,1,5,
36881,2034581,1,5,
36882,2034582,1,7,
36883,2034583,1,4,
36884,2034584,1,4,
36885,2034585,1,5,
36886,2034586,1,4,
36887,2034587,1,3,
36888,2034588,1,2,
36889,2034589,1,2,
36890,2034614,1,4,
36891,2034613,1,2,
36892,2034612,1,5,
36893,2034611,1,4,
36894,2034610,1,4,
36895,2034609,1,4,
36896,2034608,1,4,
36897,2034607,1,4,
