OBJECTID,Pole_id,Pole_T_type,Quantity,Note_
39890,2021957,2,4,
39891,2021958,2,4,
39892,2021959,2,5,
39893,2021960,2,3,
39894,2021961,2,5,
39895,2021962,2,5,
39896,2021963,2,7,
39897,2021964,2,7,
39898,2021965,2,11,
39899,2021966,2,5,
39900,2021967,2,4,
39901,2021971,2,4,
39902,2021972,2,4,
39903,2021973,2,4,
39904,2021968,2,4,
39905,2021969,2,4,
39906,2021970,2,5,
39907,2021979,2,4,
39908,2021977,2,5,
39909,2021974,2,4,
39910,2021981,2,5,
39911,2021980,2,8,
39912,2021983,2,5,
39913,2021984,2,5,
39914,2021985,1,2,
39915,2021985,2,5,
39916,2021976,2,5,
39917,2021975,2,2,
39918,2021982,2,5,
39919,2021989,2,8,
39920,2021990,2,5,
39921,2021991,2,2,
39922,2021986,2,5,
39923,2021987,1,2,
39924,2021988,2,5,
39925,2021995,2,4,
39926,2021996,2,4,
39927,2021997,2,4,
39928,2021992,2,5,
39929,2021993,2,5,
39930,2021994,2,5,
39931,2022001,2,4,
39932,2022002,2,4,
39933,2022003,2,4,
39934,2021998,2,5,
39935,2021999,2,4,
39936,2022000,2,4,
39937,2022007,2,5,
39938,2022008,2,2,
39939,2022009,2,2,
39940,2022004,2,4,
39941,2022005,2,2,
39942,2022006,2,4,
39943,2022010,2,5,
39944,2022011,2,4,
39945,2022012,2,4,
39946,2022013,2,5,
39947,2022014,2,5,
39948,2022015,2,5,
39949,2022019,2,3,
39950,2022020,2,5,
39951,2022021,2,5,
39952,2022016,2,5,
39953,2022017,2,2,
39954,2022018,2,2,
39955,2022025,2,6,
39956,2022026,2,7,
39957,2022027,2,5,
39958,2022022,2,5,
39959,2022023,2,5,
39960,2022024,2,2,
39961,2022031,2,4,
39962,2022032,2,4,
39963,2022033,2,4,
39964,2022028,2,4,
39965,2022029,2,2,
39966,2022030,2,2,
39967,2022034,2,4,
39968,2022035,2,2,
39969,2022036,2,4,
39970,2022037,2,4,
39971,2022038,2,4,
39972,2022039,2,4,
39973,2022040,2,5,
39974,2022041,2,5,
39975,2022052,2,5,
39976,2022051,2,4,
39977,2022050,2,5,
39978,2022049,2,4,
39979,2022045,2,1,
39980,2022044,2,4,
39981,2022043,2,4,
39982,2022048,2,4,
39983,2022047,2,4,
39984,2022046,2,5,
39985,2022042,2,4,
39986,2021833,2,8,
39987,2021834,2,4,
39988,2021835,2,4,
39989,2021836,2,4,
39990,2021837,2,4,
39991,2021838,2,5,
39992,2021839,2,2,
39993,2021840,2,2,
39994,2021841,2,8,
39995,2021842,2,4,
39996,2021843,2,4,
39997,2021844,2,4,
39998,2021845,2,6,
39999,2021846,2,4,
40000,2021847,2,4,
40001,2021848,2,8,
40002,2021849,2,4,
40003,2021855,2,4,
40004,2021851,2,4,
40005,2021852,2,4,
40006,2021853,2,9,
40007,2021854,2,4,
40008,2021856,2,4,
40009,2021857,2,4,
40010,2021858,2,4,
40011,2021859,2,4,
40012,2021860,2,5,
40013,2021861,2,2,
40014,2021862,2,5,
40015,2021863,2,5,
40016,2021864,2,9,
40017,2021865,2,5,
40018,2021866,2,5,
40019,2021867,2,7,
40020,2021868,2,9,
40021,2021869,2,3,
40022,2021871,2,3,
40023,2021870,1,4,
40024,2021872,2,4,
40025,2021873,2,3,
40026,2021874,2,3,
40027,2021878,2,9,
40028,2021879,2,3,
40029,2021880,2,2,
40030,2021875,2,5,
40031,2021876,2,7,
40032,2021877,2,7,
40033,2021881,2,3,
40034,2021882,2,3,
40035,2021883,2,3,
40036,2021884,2,3,
40037,2021885,2,3,
40038,2021886,2,3,
40039,2021890,2,2,
40040,2021891,2,4,
40041,2021892,2,3,
40042,2021887,2,3,
40043,2021888,2,3,
40044,2021889,2,2,
40045,2021894,2,5,
40046,2021893,2,2,
40047,2021896,2,5,
40048,2021895,2,2,
40049,2021898,2,4,
40050,2021899,2,4,
40051,2021900,2,2,
40052,2021901,2,9,
40053,2021902,2,6,
40054,2021903,2,4,
40055,2021904,2,33,
40056,2021908,2,6,
40057,2021910,2,10,
40058,2021907,2,4,
40059,2021906,2,4,
40060,2021905,2,4,
40061,2021914,2,10,
40062,2021915,2,3,
40063,2021916,2,3,
40064,2021911,2,2,
