OBJECTID,Pole_id,Pole_i_type,Quantity,Note_
"36,729","2,021,525",1,2,
"36,730","2,021,526",1,3,
"36,731","2,021,527",1,8,
"36,732","2,021,528",1,4,
"36,733","2,021,529",1,7,
"36,734","2,021,530",1,3,
"36,735","2,021,531",1,3,
"36,736","2,021,532",1,3,
"36,737","2,021,533",1,2,
"36,738","2,021,534",1,7,
"36,739","2,021,535",1,5,
"36,740","2,021,536",1,5,
"36,741","2,021,537",1,4,
"36,742","2,021,538",1,9,
"36,743","2,021,539",1,7,
"36,744","2,021,540",1,14,
"36,745","2,021,541",1,7,
"36,746","2,021,542",1,4,
"36,747","2,021,543",1,4,
"36,748","2,021,544",1,5,
"36,749","2,021,548",1,5,
"36,750","2,021,549",1,6,
"36,751","2,021,550",1,3,
"36,752","2,021,545",1,5,
"36,753","2,021,546",1,5,
"36,754","2,021,547",1,4,
"36,755","2,021,553",1,9,
"36,756","2,021,555",1,5,
"36,757","2,021,556",1,6,
"36,758","2,021,551",1,6,
"36,759","2,021,552",1,4,
"36,760","2,021,554",1,10,
"36,761","2,021,557",1,2,
"36,762","2,021,558",1,4,
"36,763","2,021,559",1,4,
"36,764","2,021,560",1,4,
"36,765","2,021,561",1,2,
"36,766","2,021,562",1,7,
"36,767","2,021,563",1,5,
"36,768","2,021,564",1,6,
"36,769","2,021,565",1,6,
"36,770","2,021,566",1,5,
"36,771","2,021,567",1,5,
"36,772","2,021,568",1,7,
"36,773","2,021,572",1,5,
"36,774","2,021,573",1,5,
"36,775","2,021,574",1,4,
"36,776","2,021,569",1,5,
"36,777","2,021,570",1,5,
"36,778","2,021,571",1,5,
"36,779","2,021,578",1,4,
"36,780","2,021,579",1,5,
"36,781","2,021,580",1,5,
"36,782","2,021,575",1,5,
"36,783","2,021,576",1,5,
"36,784","2,021,577",1,4,
"36,785","2,021,581",1,5,
"36,786","2,021,582",1,2,
"36,787","2,021,583",1,5,
"36,788","2,021,584",1,8,
"36,789","2,021,585",1,3,
"36,790","2,021,586",1,5,
"36,791","2,021,587",1,3,
"36,792","2,021,588",1,6,
"36,793","2,021,589",1,11,
"36,794","2,021,590",1,8,
"36,795","2,021,591",1,3,
"36,796","2,021,592",1,3,
"36,797","2,021,593",1,5,
"36,798","2,021,594",1,2,
"36,799","2,021,595",1,5,
"36,800","2,021,596",1,9,
"36,801","2,021,597",1,11,
"36,802","2,021,598",1,4,
"36,803","2,021,599",1,10,
"36,804","2,021,600",1,3,
"36,805","2,021,601",1,3,
"36,806","2,021,602",1,2,
"36,807","2,021,603",1,2,
"36,808","2,021,604",1,6,
"36,809","2,021,606",1,8,
"36,810","2,021,607",1,2,
"36,811","2,021,608",1,9,
"36,812","2,021,609",1,4,
"36,813","2,021,610",1,3,
"36,814","2,021,611",1,4,
"36,815","2,021,612",1,3,
"36,816","2,021,613",1,2,
"36,817","2,021,614",1,2,
"36,818","2,021,615",1,3,
"36,819","2,021,616",1,2,
"36,820","2,021,617",1,2,
"36,821","2,021,618",1,3,
"36,822","2,021,619",1,2,
"36,823","2,021,620",1,2,
"36,824","2,021,621",1,2,
"36,825","2,021,622",1,3,
"36,826","2,021,623",1,3,
"36,827","2,034,269",1,5,
"36,828","2,034,270",1,8,
"36,829","2,034,271",1,4,
"36,830","2,034,272",1,6,
"36,831","2,034,273",1,8,
"36,832","2,034,274",1,4,
"36,833","2,034,275",1,4,
"36,834","2,034,276",1,4,
"36,835","2,034,277",1,2,
"36,836","2,034,278",1,2,
"36,837","2,034,279",1,2,
"36,838","2,034,280",1,3,
"36,839","2,034,281",1,4,
"36,840","2,034,282",1,4,
"36,841","2,034,283",1,4,
"36,842","2,034,284",1,5,
"36,843","2,034,285",1,2,
"36,844","2,034,286",1,4,
"36,845","2,034,287",1,2,
"36,846","2,034,288",1,2,
"36,847","2,034,289",1,2,
"36,848","2,034,290",1,2,
"36,849","2,034,291",1,2,
"36,850","2,034,292",1,2,
"36,851","2,034,293",1,2,
"36,852","2,034,552",1,9,
"36,853","2,034,553",1,4,
"36,854","2,034,554",1,5,
"36,855","2,034,557",1,4,
