OBJECTID,Pole_id,Pole_co_type,Quantity,Note_
"25,764","2,021,243",1,1,
"25,765","2,021,245",1,1,
"25,766","2,021,246",1,1,
"25,767","2,021,247",1,1,
"25,768","2,021,248",1,1,
"25,769","2,021,254",1,1,
"25,770","2,021,255",1,1,
"25,771","2,021,256",1,1,
"25,772","2,021,257",1,1,
"25,773","2,021,258",1,1,
"25,774","2,021,259",1,1,
"25,775","2,021,260",1,1,
"25,776","2,021,266",4,1,
"25,777","2,021,268",1,1,
"25,778","2,021,269",1,1,
"25,779","2,021,270",1,1,
"25,780","2,021,271",1,1,
"25,781","2,021,272",1,1,
"25,782","2,021,273",1,1,
"25,783","2,021,276",1,1,
"25,784","2,021,277",1,1,
"25,785","2,021,279",1,1,
"25,786","2,021,280",1,1,
"25,787","2,021,281",1,2,
"25,788","2,021,282",1,2,
"25,789","2,021,283",1,3,
"25,790","2,021,284",1,1,
"25,791","2,021,285",1,2,
"25,792","2,021,291",1,2,
"25,793","2,021,292",1,2,
"25,794","2,021,287",1,1,
"25,795","2,021,293",1,1,
"25,796","2,021,295",1,1,
"25,797","2,021,296",2,2,
"25,798","2,021,297",1,2,
"25,799","2,021,298",1,1,
"25,800","2,021,299",1,2,
"25,801","2,021,301",1,1,
"25,802","2,021,301",2,1,
"25,803","2,021,302",1,2,
"25,804","2,021,303",1,1,
"25,805","2,021,300",1,1,
"25,806","2,021,308",2,1,
"25,807","2,021,310",1,2,
"25,808","2,021,312",1,1,
"25,809","2,021,313",1,1,
"25,810","2,021,317",1,3,
"25,811","2,021,318",1,1,
"25,812","2,021,320",1,3,
"25,813","2,021,321",1,1,
"25,814","2,021,322",1,1,
"25,815","2,021,323",1,1,
"25,816","2,021,324",1,1,
"25,817","2,021,325",1,1,
"25,818","2,021,326",1,1,
"25,819","2,021,328",1,1,
"25,820","2,021,329",1,1,
"25,821","2,021,331",2,1,
"25,822","2,021,332",1,1,
"25,823","2,021,333",1,1,
"25,824","2,021,334",1,1,
"25,825","2,021,335",1,1,
"25,826","2,021,340",1,1,
"25,827","2,021,351",1,1,
"25,828","2,021,352",1,2,
"25,829","2,021,353",1,1,
"25,830","2,021,354",1,1,
"25,831","2,021,355",2,1,
"25,832","2,021,360",1,1,
"25,833","2,021,361",1,1,
"25,834","2,021,366",1,1,
"25,835","2,021,367",1,3,
"25,836","2,021,370",1,3,
"25,837","2,021,371",1,1,
"25,838","2,021,372",1,2,
"25,839","2,021,373",1,1,
"25,840","2,021,374",1,1,
"25,841","2,021,375",1,2,
"25,842","2,021,376",1,1,
"25,843","2,021,377",2,2,
"25,844","2,021,378",1,1,
"25,845","2,021,379",1,4,
"25,846","2,021,380",1,1,
"25,847","2,021,382",1,1,
"25,848","2,021,383",1,1,
"25,849","2,021,389",1,1,
"25,850","2,021,391",1,2,
"25,851","2,021,393",1,1,
"25,852","2,021,394",1,1,
"25,853","2,021,397",1,1,
"25,854","2,021,399",1,1,
"25,855","2,021,400",1,2,
"25,856","2,021,401",1,1,
"25,857","2,021,402",1,1,
"25,858","2,021,403",1,2,
"25,859","2,021,404",1,1,
"25,860","2,021,406",1,1,
"25,861","2,021,407",1,1,
"25,862","2,021,409",1,1,
"25,863","2,021,410",1,2,
"25,864","2,021,412",1,2,
"25,865","2,021,413",1,1,
"25,866","2,021,415",1,1,
"25,867","2,021,319",1,1,
"25,868","2,021,435",1,2,
"25,869","2,021,436",1,1,
"25,870","2,021,437",1,1,
"25,871","2,021,438",1,1,
"25,872","2,021,440",1,1,
"25,873","2,021,443",1,3,
"25,874","2,021,444",1,1,
"25,875","2,021,629",1,1,
"25,876","2,021,630",1,1,
"25,877","2,021,631",1,1,
"25,878","2,021,635",1,1,
"25,879","2,021,641",1,1,
"25,880","2,021,642",1,2,
"25,881","2,021,643",3,1,
"25,882","2,021,639",1,1,
"25,883","2,021,640",1,1,
"25,884","2,021,647",1,2,
"25,885","2,021,648",1,1,
"25,886","2,021,644",1,2,
"25,887","2,021,646",1,1,
"25,888","2,021,657",1,1,
"25,889","2,021,659",1,2,
"25,890","2,021,660",1,1,
"25,891","2,021,665",1,3,
"25,892","2,021,667",1,3,
"25,893","2,021,668",1,1,
"25,894","2,021,669",1,1,
"25,895","2,021,670",1,1,
"25,896","2,021,671",1,1,
"25,897","2,021,672",1,1,
"25,898","2,021,678",1,1,
"25,899","2,021,679",1,1,
"25,900","2,021,674",1,1,
"25,901","2,021,675",1,1,
"25,902","2,021,676",1,2,
"25,903","2,021,683",1,1,
"25,904","2,021,681",1,1,
"25,905","2,021,685",1,2,
"25,906","2,021,686",1,1,
"25,907","2,021,688",1,1,
"25,908","2,021,689",1,1,
"25,909","2,021,694",1,1,
"25,910","2,021,695",1,2,
"25,911","2,021,696",1,2,
"25,912","2,021,697",1,1,
"25,913","2,022,288",1,1,
"25,914","2,022,292",1,1,
"25,915","2,022,293",2,2,
"25,916","2,022,295",1,1,
"25,917","2,022,298",1,1,
"25,918","2,022,299",3,1,
"25,919","2,022,300",1,1,
"25,920","2,022,300",3,1,
"25,921","2,022,301",1,2,
"25,922","2,022,303",2,1,
"25,923","2,022,303",4,1,
"25,924","2,022,304",1,1,
"25,925","2,022,305",10,1,
"25,926","2,022,306",1,1,
"25,927","2,022,308",1,1,
"25,928","2,022,309",1,1,
"25,929","2,022,315",1,3,
"25,930","2,022,311",1,1,
"25,931","2,022,312",1,1,
"25,932","2,022,316",1,2,
"25,933","2,022,318",1,2,
"25,934","2,021,700",1,1,
"25,935","2,021,701",1,1,
"25,936","2,021,702",1,1,
"25,937","2,021,703",1,2,
"25,938","2,021,704",1,1,
"25,939","2,021,705",1,2,
"25,940","2,021,708",2,1,
"25,941","2,021,709",1,1,
"25,942","2,021,716",1,1,
"25,943","2,021,719",1,2,
"25,944","2,021,720",1,1,
"25,945","2,021,721",1,1,
"25,946","2,021,727",1,1,
"25,947","2,021,725",1,1,
"25,948","2,021,730",1,1,
"25,949","2,021,732",1,1,
"25,950","2,021,734",1,2,
"25,951","2,021,739",1,1,
"25,952","2,021,740",1,1,
"25,953","2,021,735",1,2,
"25,954","2,021,737",1,1,
"25,955","2,021,741",1,1,
"25,956","2,021,742",1,2,
"25,957","2,021,743",1,2,
"25,958","2,021,747",3,1,
"25,959","2,021,748",3,1,
"25,960","2,021,749",1,3,
"25,961","2,021,750",1,2,
"25,962","2,021,751",1,1,
"25,963","2,021,756",1,2,
"25,964","2,021,757",1,3,
"25,965","2,021,753",1,3,
"25,966","2,021,754",1,2,
"25,967","2,021,755",1,1,
"25,968","2,021,762",2,2,
"25,969","2,021,763",10,1,
"25,970","2,021,760",1,1,
"25,971","2,021,765",1,1,
"25,972","2,020,985",2,2,
"25,973","2,020,984",2,2,
"25,974","2,020,987",2,2,
"25,975","2,020,990",1,1,
"25,976","2,020,991",2,2,
