OBJECTID,Pole_id,Pole_T_type,Quantity,Note_
"39,890","2,021,957",2,4,
"39,891","2,021,958",2,4,
"39,892","2,021,959",2,5,
"39,893","2,021,960",2,3,
"39,894","2,021,961",2,5,
"39,895","2,021,962",2,5,
"39,896","2,021,963",2,7,
"39,897","2,021,964",2,7,
"39,898","2,021,965",2,11,
"39,899","2,021,966",2,5,
"39,900","2,021,967",2,4,
"39,901","2,021,971",2,4,
"39,902","2,021,972",2,4,
"39,903","2,021,973",2,4,
"39,904","2,021,968",2,4,
"39,905","2,021,969",2,4,
"39,906","2,021,970",2,5,
"39,907","2,021,979",2,4,
"39,908","2,021,977",2,5,
"39,909","2,021,974",2,4,
"39,910","2,021,981",2,5,
"39,911","2,021,980",2,8,
"39,912","2,021,983",2,5,
"39,913","2,021,984",2,5,
"39,914","2,021,985",1,2,
"39,915","2,021,985",2,5,
"39,916","2,021,976",2,5,
"39,917","2,021,975",2,2,
"39,918","2,021,982",2,5,
"39,919","2,021,989",2,8,
"39,920","2,021,990",2,5,
"39,921","2,021,991",2,2,
"39,922","2,021,986",2,5,
"39,923","2,021,987",1,2,
"39,924","2,021,988",2,5,
"39,925","2,021,995",2,4,
"39,926","2,021,996",2,4,
"39,927","2,021,997",2,4,
"39,928","2,021,992",2,5,
"39,929","2,021,993",2,5,
"39,930","2,021,994",2,5,
"39,931","2,022,001",2,4,
"39,932","2,022,002",2,4,
"39,933","2,022,003",2,4,
"39,934","2,021,998",2,5,
"39,935","2,021,999",2,4,
"39,936","2,022,000",2,4,
"39,937","2,022,007",2,5,
"39,938","2,022,008",2,2,
"39,939","2,022,009",2,2,
"39,940","2,022,004",2,4,
"39,941","2,022,005",2,2,
"39,942","2,022,006",2,4,
"39,943","2,022,010",2,5,
"39,944","2,022,011",2,4,
"39,945","2,022,012",2,4,
"39,946","2,022,013",2,5,
"39,947","2,022,014",2,5,
"39,948","2,022,015",2,5,
"39,949","2,022,019",2,3,
"39,950","2,022,020",2,5,
"39,951","2,022,021",2,5,
"39,952","2,022,016",2,5,
"39,953","2,022,017",2,2,
"39,954","2,022,018",2,2,
"39,955","2,022,025",2,6,
"39,956","2,022,026",2,7,
"39,957","2,022,027",2,5,
"39,958","2,022,022",2,5,
"39,959","2,022,023",2,5,
"39,960","2,022,024",2,2,
"39,961","2,022,031",2,4,
"39,962","2,022,032",2,4,
"39,963","2,022,033",2,4,
"39,964","2,022,028",2,4,
"39,965","2,022,029",2,2,
"39,966","2,022,030",2,2,
"39,967","2,022,034",2,4,
"39,968","2,022,035",2,2,
"39,969","2,022,036",2,4,
"39,970","2,022,037",2,4,
"39,971","2,022,038",2,4,
"39,972","2,022,039",2,4,
"39,973","2,022,040",2,5,
"39,974","2,022,041",2,5,
"39,975","2,022,052",2,5,
"39,976","2,022,051",2,4,
"39,977","2,022,050",2,5,
"39,978","2,022,049",2,4,
"39,979","2,022,045",2,1,
"39,980","2,022,044",2,4,
"39,981","2,022,043",2,4,
"39,982","2,022,048",2,4,
"39,983","2,022,047",2,4,
"39,984","2,022,046",2,5,
"39,985","2,022,042",2,4,
"39,986","2,021,833",2,8,
"39,987","2,021,834",2,4,
"39,988","2,021,835",2,4,
"39,989","2,021,836",2,4,
"39,990","2,021,837",2,4,
"39,991","2,021,838",2,5,
"39,992","2,021,839",2,2,
"39,993","2,021,840",2,2,
"39,994","2,021,841",2,8,
"39,995","2,021,842",2,4,
"39,996","2,021,843",2,4,
"39,997","2,021,844",2,4,
"39,998","2,021,845",2,6,
"39,999","2,021,846",2,4,
"40,000","2,021,847",2,4,
"40,001","2,021,848",2,8,
"40,002","2,021,849",2,4,
"40,003","2,021,855",2,4,
"40,004","2,021,851",2,4,
"40,005","2,021,852",2,4,
"40,006","2,021,853",2,9,
"40,007","2,021,854",2,4,
"40,008","2,021,856",2,4,
"40,009","2,021,857",2,4,
"40,010","2,021,858",2,4,
"40,011","2,021,859",2,4,
"40,012","2,021,860",2,5,
"40,013","2,021,861",2,2,
"40,014","2,021,862",2,5,
"40,015","2,021,863",2,5,
"40,016","2,021,864",2,9,
"40,017","2,021,865",2,5,
"40,018","2,021,866",2,5,
"40,019","2,021,867",2,7,
"40,020","2,021,868",2,9,
